GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Maven Changes Plugin,org.apache.maven.plugins.changes.model.io.xpp3,ChangesXpp3Reader,2180,0,182,0,497,0,121,0,30,0
Apache Maven Changes Plugin,org.apache.maven.plugins.changes.model.io.xpp3,ChangesXpp3Writer,502,0,88,0,110,0,56,0,12,0
Apache Maven Changes Plugin,org.apache.maven.plugins.changes.schema,XmlValidationHandler,94,0,4,0,31,0,15,0,13,0
Apache Maven Changes Plugin,org.apache.maven.plugins.changes.schema,DefaultChangesSchemaValidator,193,0,4,0,41,0,7,0,5,0
Apache Maven Changes Plugin,org.apache.maven.plugins.changes.schema,SchemaValidatorException,5,0,0,0,2,0,1,0,1,0
Apache Maven Changes Plugin,org.apache.maven.plugins.issues,IssuesReportHelper,150,0,20,0,32,0,15,0,5,0
Apache Maven Changes Plugin,org.apache.maven.plugins.issues,IssueUtils,167,0,28,0,33,0,18,0,4,0
Apache Maven Changes Plugin,org.apache.maven.plugins.issues,AbstractIssueManagementSystem,74,0,6,0,13,0,6,0,3,0
Apache Maven Changes Plugin,org.apache.maven.plugins.issues,IssuesReportGenerator,338,0,44,0,102,0,40,0,5,0
Apache Maven Changes Plugin,org.apache.maven.plugins.issues,AbstractIssuesReportGenerator,185,0,16,0,81,0,21,0,13,0
Apache Maven Changes Plugin,org.apache.maven.plugins.issues,Issue,184,0,6,0,61,0,39,0,36,0
Apache Maven Changes Plugin,org.apache.maven.plugins.resource.loader,ProjectResourceLoader,312,0,36,0,57,0,24,0,6,0
Apache Maven Changes Plugin,org.apache.maven.plugins.announcement.mailsender,ProjectJavamailMailSender.new Authenticator() {...},16,0,0,0,3,0,2,0,2,0
Apache Maven Changes Plugin,org.apache.maven.plugins.announcement.mailsender,ProjectJavamailMailSender,329,0,32,0,69,0,19,0,3,0
Apache Maven Changes Plugin,org.apache.maven.plugins.changes.textformater,IssueListFormatterFactory,42,0,6,0,9,0,5,0,2,0
Apache Maven Changes Plugin,org.apache.maven.plugins.changes.textformater,AptIssueListFormater,162,0,8,0,21,0,6,0,2,0
Apache Maven Changes Plugin,org.apache.maven.plugins.changes.textformater,MarkdownIssueListFormater,703,0,63,0,105,0,45,0,7,0
Apache Maven Changes Plugin,org.apache.maven.plugins.changes.model,Properties,17,0,0,0,7,0,5,0,5,0
Apache Maven Changes Plugin,org.apache.maven.plugins.changes.model,Release,140,0,12,0,36,0,20,0,14,0
Apache Maven Changes Plugin,org.apache.maven.plugins.changes.model,Action,173,0,12,0,51,0,31,0,25,0
Apache Maven Changes Plugin,org.apache.maven.plugins.changes.model,DueTo,17,0,0,0,7,0,5,0,5,0
Apache Maven Changes Plugin,org.apache.maven.plugins.changes.model,Body,60,0,6,0,14,0,8,0,5,0
Apache Maven Changes Plugin,org.apache.maven.plugins.changes.model,Author,17,0,0,0,7,0,5,0,5,0
Apache Maven Changes Plugin,org.apache.maven.plugins.changes.model,ChangesDocument,27,0,0,0,11,0,7,0,7,0
Apache Maven Changes Plugin,org.apache.maven.plugins.changes.model,FixedIssue,10,0,0,0,4,0,3,0,3,0
Apache Maven Changes Plugin,org.apache.maven.plugins.changes.model,Component,74,0,6,0,20,0,12,0,9,0
Apache Maven Changes Plugin,org.apache.maven.plugins.jira,ParameterQueryBuilder,721,0,86,0,166,0,62,0,19,0
Apache Maven Changes Plugin,org.apache.maven.plugins.jira,JiraHelper,233,0,16,0,56,0,12,0,4,0
Apache Maven Changes Plugin,org.apache.maven.plugins.jira,AdaptiveJiraDownloader,145,0,0,0,39,0,6,0,6,0
Apache Maven Changes Plugin,org.apache.maven.plugins.jira,JqlQueryBuilder,449,0,38,0,108,0,45,0,26,0
Apache Maven Changes Plugin,org.apache.maven.plugins.jira,RestJiraDownloader,1222,0,126,0,259,0,90,0,27,0
Apache Maven Changes Plugin,org.apache.maven.plugins.jira,JiraMojo,389,0,24,0,88,0,23,0,11,0
Apache Maven Changes Plugin,org.apache.maven.plugins.jira,AbstractJiraDownloader,253,0,24,0,83,0,44,0,32,0
Apache Maven Changes Plugin,org.apache.maven.plugins.jira,JiraXML,448,0,62,0,107,0,39,0,8,0
